City,Team Name
Arizona,Diamondbacks
Atlanta,Braves
Baltimore,Orioles
Boston,Red Sox
Chicago C,Cubs
Chicago WS,White Sox
Cincinnati,Reds
Cleveland,Guardians
Colorado,Rockies
Detroit,Tigers
Houston,Astros
Kansas City,Royals
Los Angeles A,Angels
Los Angeles D,Dodgers
Miami,Marlins
Milwaukee,Brewers
Minnesota,Twins
New York M,Mets
New York Y,Yankees
A's,Athletics
Philadelphia,Phillies
Pittsburgh,Pirates
San Diego,Padres
San Francisco,Giants
Seattle,Mariners
St. Louis,Cardinals
Tampa Bay,Rays
Texas,Rangers
Toronto,Blue Jays
Washington,Nationals
